"Census Profile, 2021 Census of Population",,,,,,,,,,,,,,
,,,Quebec [Province],,,,,,,,,,,
,,,Counts,,,,,,Rates,,,,,
Topic,Characteristic,Note,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag
Population and dwellings,"Population, 2021",1,8501833,,,...,,...,,...,,...,,...
Population and dwellings,"Population, 2016",1,8164361,,,...,,...,,...,,...,,...
Population and dwellings,"Population percentage change, 2016 to 2021",,4.1,,,...,,...,4.1,,,...,,...
Population and dwellings,Total private dwellings,2,4050164,,,...,,...,,...,,...,,...
Population and dwellings,Private dwellings occupied by usual residents,3,3749035,,,...,,...,,...,,...,,...
Population and dwellings,Population density per square kilometre,,6.5,,,...,,...,6.5,,,...,,...
Population and dwellings,Land area in square kilometres,,1298599.75,,,...,,...,,...,,...,,...
Age characteristics,Total - Age groups of the population - 100% data,,8501835,,4201960,,4299870,,100,,100,,100,
Age characteristics,  0 to 14 years,,1391360,,713290,,678070,,16.4,,17,,15.8,
Age characteristics,    0 to 4 years,,422980,,217145,,205840,,5,,5.2,,4.8,
Age characteristics,    5 to 9 years,,478955,,245295,,233665,,5.6,,5.8,,5.4,
Age characteristics,    10 to 14 years,,489425,,250855,,238570,,5.8,,6,,5.5,
Age characteristics,  15 to 64 years,,5356945,,2686745,,2670195,,63,,63.9,,62.1,
Age characteristics,    15 to 19 years,,429400,,219400,,209995,,5.1,,5.2,,4.9,
Age characteristics,    20 to 24 years,,460660,,235250,,225405,,5.4,,5.6,,5.2,
Age characteristics,    25 to 29 years,,527150,,266455,,260700,,6.2,,6.3,,6.1,
Age characteristics,    30 to 34 years,,536040,,267770,,268270,,6.3,,6.4,,6.2,
Age characteristics,    35 to 39 years,,550425,,274350,,276075,,6.5,,6.5,,6.4,
Age characteristics,    40 to 44 years,,572565,,286405,,286160,,6.7,,6.8,,6.7,
Age characteristics,    45 to 49 years,,516465,,259565,,256905,,6.1,,6.2,,6,
Age characteristics,    50 to 54 years,,522935,,262610,,260325,,6.2,,6.2,,6.1,
Age characteristics,    55 to 59 years,,615690,,307230,,308465,,7.2,,7.3,,7.2,
Age characteristics,    60 to 64 years,,625610,,307710,,317900,,7.4,,7.3,,7.4,
Age characteristics,  65 years and over,,1753530,,801925,,951605,,20.6,,19.1,,22.1,
Age characteristics,    65 to 69 years,,541970,,264020,,277950,,6.4,,6.3,,6.5,
Age characteristics,    70 to 74 years,,455900,,217985,,237910,,5.4,,5.2,,5.5,
Age characteristics,    75 to 79 years,,330840,,153790,,177050,,3.9,,3.7,,4.1,
Age characteristics,    80 to 84 years,,210405,,90825,,119580,,2.5,,2.2,,2.8,
Age characteristics,    85 years and over,,214415,,75305,,139115,,2.5,,1.8,,3.2,
Age characteristics,      85 to 89 years,,131755,,50610,,81150,,1.5,,1.2,,1.9,
Age characteristics,      90 to 94 years,,65020,,20490,,44535,,0.8,,0.5,,1,
Age characteristics,      95 to 99 years,,15665,,3875,,11790,,0.2,,0.1,,0.3,
Age characteristics,      100 years and over,,1975,,330,,1640,,0,,0,,0,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,,100,,100,,100,,100,,100,
Age characteristics,  0 to 14 years,,16.4,,17,,15.8,,16.4,,17,,15.8,
Age characteristics,  15 to 64 years,,63,,63.9,,62.1,,63,,63.9,,62.1,
Age characteristics,  65 years and over,,20.6,,19.1,,22.1,,20.6,,19.1,,22.1,
Age characteristics,    85 years and over,,2.5,,1.8,,3.2,,2.5,,1.8,,3.2,
Age characteristics,Average age of the population,,42.8,,41.8,,43.7,,42.8,,41.8,,43.7,
Age characteristics,Median age of the population,,43.2,,42,,44,,43.2,,42,,44,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,3749035,,,...,,...,100,,,...,,...
Household and dwelling characteristics,  Single-detached house,,1671920,,,...,,...,44.6,,,...,,...
Household and dwelling characteristics,  Semi-detached house,,199080,,,...,,...,5.3,,,...,,...
Household and dwelling characteristics,  Row house,,98625,,,...,,...,2.6,,,...,,...
Household and dwelling characteristics,  Apartment or flat in a duplex,,271245,,,...,,...,7.2,,,...,,...
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,1242910,,,...,,...,33.2,,,...,,...
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,225745,,,...,,...,6,,,...,,...
Household and dwelling characteristics,  Other single-attached house,,15745,,,...,,...,0.4,,,...,,...
Household and dwelling characteristics,  Movable dwelling,4,23760,,,...,,...,0.6,,,...,,...
Household and dwelling characteristics,Total - Private households by household size - 100% data,,3749035,,,...,,...,100,,,...,,...
Household and dwelling characteristics,  1 person,,1317505,,,...,,...,35.1,,,...,,...
Household and dwelling characteristics,  2 persons,,1295730,,,...,,...,34.6,,,...,,...
Household and dwelling characteristics,  3 persons,,480135,,,...,,...,12.8,,,...,,...
Household and dwelling characteristics,  4 persons,,427605,,,...,,...,11.4,,,...,,...
Household and dwelling characteristics,  5 or more persons,,228060,,,...,,...,6.1,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,8308480,,4126815,,4181665,,100,,100,,100,
Household and dwelling characteristics,Average household size,,2.2,,,...,,...,2.2,,,...,,...
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,7110470,,3488670,,3621805,,100,,100,,100,
Marital status,  Married or living common-law,,3967915,,1986770,,1981145,,55.8,,56.9,,54.7,
Marital status,    Married,,2310860,,1157085,,1153775,,32.5,,33.2,,31.9,
Marital status,    Living common-law,,1657050,,829680,,827375,,23.3,,23.8,,22.8,
Marital status,      Living common law - Never married,,1345765,,671000,,674765,,18.9,,19.2,,18.6,
Marital status,      Living common law - Separated,,17505,,9090,,8410,,0.2,,0.3,,0.2,
Marital status,      Living common law - Divorced,,261885,,135520,,126370,,3.7,,3.9,,3.5,
Marital status,      Living common law - Widowed,,31900,,14070,,17830,,0.4,,0.4,,0.5,
Marital status,  Not married and not living common-law,,3142560,,1501895,,1640660,,44.2,,43.1,,45.3,
Marital status,    Not married and not living common law - Never married,,2161975,,1166840,,995135,,30.4,,33.4,,27.5,
Marital status,    Not married and not living common law - Separated,,106275,,48095,,58175,,1.5,,1.4,,1.6,
Marital status,    Not married and not living common law - Divorced,,494210,,197455,,296755,,7,,5.7,,8.2,
Marital status,    Not married and not living common law - Widowed,,380100,,89515,,290580,,5.3,,2.6,,8,
Family characteristics,Total - Census families in private households by family size - 100% data,5,2323410,,,...,,...,100,,,...,,...
Family characteristics,  2 persons,,1267980,,,...,,...,54.6,,,...,,...
Family characteristics,  3 persons,,454980,,,...,,...,19.6,,,...,,...
Family characteristics,  4 persons,,412850,,,...,,...,17.8,,,...,,...
Family characteristics,  5 or more persons,,187600,,,...,,...,8.1,,,...,,...
Family characteristics,Average size of census families,,2.8,,,...,,...,2.8,,,...,,...
Family characteristics,Average number of children in census families with children,6,1.8,,,...,,...,1.8,,,...,,...
Family characteristics,Total number of census families in private households - 100% data,,2323410,,,...,,...,100,,,...,,...
Family characteristics,  Total couple families,,1939635,,,...,,...,83.5,,,...,,...
Family characteristics,    Married couples,,1111625,,,...,,...,47.8,,,...,,...
Family characteristics,      With children,6,502020,,,...,,...,21.6,,,...,,...
Family characteristics,      Without children,,609605,,,...,,...,26.2,,,...,,...
Family characteristics,    Common-law couples,,828005,,,...,,...,35.6,,,...,,...
Family characteristics,      With children,6,401885,,,...,,...,17.3,,,...,,...
Family characteristics,      Without children,,426120,,,...,,...,18.3,,,...,,...
Family characteristics,  Total one-parent families,,383775,,,...,,...,16.5,,,...,,...
Family characteristics,    in which the parent is a woman+,,284025,,,...,,...,12.2,,,...,,...
Family characteristics,    in which the parent is a man+,,99755,,,...,,...,4.3,,,...,,...
Family characteristics,Total - Persons in private households - 100% data,,8308480,,4126815,,4181665,,100,,100,,100,
Family characteristics,  Total - Persons in census families,,6557095,,3256260,,3300835,,78.9,,78.9,,78.9,
Family characteristics,    Married spouses or common-law partners,,3879265,,1941175,,1938090,,46.7,,47,,46.3,
Family characteristics,    Parents in one-parent families,,383780,,99755,,284020,,4.6,,2.4,,6.8,
Family characteristics,    Children,6,2294055,,1215335,,1078720,,27.6,,29.4,,25.8,
Family characteristics,      In a two-parent family,,1708235,,897930,,810305,,20.6,,21.8,,19.4,
Family characteristics,      In a one-parent family,,585820,,317400,,268415,,7.1,,7.7,,6.4,
Family characteristics,  Total - Persons not in census families in private households - 100% data,,1751380,,870550,,880825,,21.1,,21.1,,21.1,
Family characteristics,    Living alone,,1317505,,638170,,679335,,15.9,,15.5,,16.2,
Family characteristics,    Living with other relatives,7,165070,,74060,,91005,,2,,1.8,,2.2,
Family characteristics,    Living with non-relatives only,,268810,,158325,,110485,,3.2,,3.8,,2.6,
Household type,Total - Household type - 100% data,,3749035,,,...,,...,100,,,...,,...
Household type,  One-census-family households without additional persons,,2165490,,,...,,...,57.8,,,...,,...
Household type,    Couple-family households,,1834095,,,...,,...,48.9,,,...,,...
Household type,      With children,6,851835,,,...,,...,22.7,,,...,,...
Household type,      Without children,,982260,,,...,,...,26.2,,,...,,...
Household type,    One-parent-family households,,331395,,,...,,...,8.8,,,...,,...
Household type,  Multigenerational households,8,50790,,,...,,...,1.4,,,...,,...
Household type,  Multiple-census-family households,9,9225,,,...,,...,0.2,,,...,,...
Household type,  One-census-family households with additional persons,9,66750,,,...,,...,1.8,,,...,,...
Household type,  Two-or-more-person non-census-family households ,,139280,,,...,,...,3.7,,,...,,...
Household type,  One-person households,,1317505,,,...,,...,35.1,,,...,,...
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10,6918720,,3414440,,3504275,,100,,100,,100,
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,6738760,,3326795,,3411965,,97.4,,97.4,,97.4,
Income of individuals in 2020,    Median total income in 2020 among recipients ($),,40800,,44800,,37200,,40800,,44800,,37200,
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,6740755,,3327835,,3412920,,97.4,,97.5,,97.4,
Income of individuals in 2020,    Median after-tax income in 2020 among recipients ($),,36400,,39200,,33600,,36400,,39200,,33600,
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,6054780,,3047745,,3007040,,87.5,,89.3,,85.8,
Income of individuals in 2020,    Median market income in 2020 among recipients ($),,33600,,39600,,28000,,33600,,39600,,28000,
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,4874570,,2537900,,2336665,,70.5,,74.3,,66.7,
Income of individuals in 2020,    Median employment income in 2020 among recipients ($),,36000,,40400,,31600,,36000,,40400,,31600,
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,5596585,,2627215,,2969370,,80.9,,76.9,,84.7,
Income of individuals in 2020,    Median government transfers in 2020 among recipients ($),,11500,,10200,,12300,,11500,,10200,,12300,
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,837635,,441080,,396550,,12.1,,12.9,,11.3,
Income of individuals in 2020,    Median employment insurance benefits in 2020 among recipients ($),,5520,,5520,,5600,,5520,,5520,,5600,
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,1971440,,1039220,,932220,,28.5,,30.4,,26.6,
Income of individuals in 2020,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,7000,,6500,,8000,,7000,,6500,,8000,
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11,6918730,,3414515,,3504210,,100,,100,,100,
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,6738410,,3326975,,3411440,,97.4,,97.4,,97.4,
Income of individuals in 2020,    Average total income in 2020 among recipients ($),,51160,,57550,,44960,,51160,,57550,,44960,
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,6740360,,3328000,,3412360,,97.4,,97.5,,97.4,
Income of individuals in 2020,    Average after-tax income in 2020 among recipients ($),,41840,,45760,,38000,,41840,,45760,,38000,
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,6053525,,3047850,,3005675,,87.5,,89.3,,85.8,
Income of individuals in 2020,    Average market income in 2020 among recipients ($),,45480,,52900,,38000,,45480,,52900,,38000,
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,4874615,,2538865,,2335755,,70.5,,74.4,,66.7,
Income of individuals in 2020,    Average employment income in 2020 among recipients ($),,46240,,51950,,40040,,46240,,51950,,40040,
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,5593790,,2625895,,2967900,,80.8,,76.9,,84.7,
Income of individuals in 2020,    Average government transfers in 2020 among recipients ($),,12410,,11500,,13220,,12410,,11500,,13220,
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,837180,,441665,,395515,,12.1,,12.9,,11.3,
Income of individuals in 2020,    Average employment insurance benefits in 2020 among recipients ($),,7040,,6380,,7780,,7040,,6380,,7780,
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,1966120,,1039080,,927040,,28.4,,30.4,,26.5,
Income of individuals in 2020,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),,8130,,7910,,8390,,8130,,7910,,8390,
Income of individuals in 2020,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,12,6918730,,3414515,,3504210,,100,,100,,100,
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,13,2305655,,1246645,,1059005,,33.3,,36.5,,30.2,
Income of individuals in 2020,    Median employment income in 2020 for full-year full-time workers in 2020 ($),14,58400,,62800,,53600,,58400,,62800,,53600,
Income of individuals in 2020,    Average employment income in 2020 for full-year full-time workers in 2020 ($),15,69700,,76600,,61550,,69700,,76600,,61550,
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,16,2014360,,990380,,1023980,,29.1,,29,,29.2,
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),,18600,,21400,,16600,,18600,,21400,,16600,
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),,28160,,32120,,24360,,28160,,32120,,24360,
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,17,100,,100,,100,,100,,100,,100,
Income of individuals in 2020,  Market income (%),18,79.8,,84.2,,74.4,,79.8,,84.2,,74.4,
Income of individuals in 2020,    Employment income (%),19,65.4,,68.8,,61,,65.4,,68.8,,61,
Income of individuals in 2020,  Government transfers (%),20,20.1,,15.8,,25.6,,20.1,,15.8,,25.6,
